sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,severity,reason,anomaly_type
2025-01-28,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,10,1.7142857142857142,5.833333333333334,High,Campaign-driven sales spike: Sales are 5.83x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-01-29,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-3瓶装,5,1.1428571428571428,4.375,Medium,Campaign-driven sales spike: Sales are 4.38x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-01-31,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-5瓶装,5,1.4285714285714286,3.5,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-04-04,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,13,3.142857142857143,4.136363636363637,Medium,Campaign-driven sales spike: Sales are 4.14x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-05-01,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,6,1.8571428571428572,3.230769230769231,Medium,Campaign-driven sales spike: Sales are 3.23x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-05-02,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,8,1.4285714285714286,5.6,High,Campaign-driven sales spike: Sales are 5.6x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-01,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1),14,3.857142857142857,3.6296296296296298,Medium,Campaign-driven sales spike: Sales are 3.63x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-01,	-,【免疫力】进口500mg维生素C缓释胶囊60粒 效期到2026-06-30-3瓶装-(625273076622*3),14,3.857142857142857,3.6296296296296298,Medium,Campaign-driven sales spike: Sales are 3.63x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-02,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1),10,2.5714285714285716,3.8888888888888884,Medium,Campaign-driven sales spike: Sales are 3.89x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-03,	-,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1),12,2.4285714285714284,4.9411764705882355,Medium,Campaign-driven sales spike: Sales are 4.94x higher than the 7-day average.,CAMPAIGN_SPIKE
